iter	Passed	Remaining
661	1651	843
662	1653	840
663	1655	837
664	1658	835
665	1660	832
666	1663	830
667	1665	827
668	1667	825
669	1670	822
670	1672	819
671	1673	816
672	1675	814
673	1677	811
674	1679	808
675	1681	805
676	1683	803
677	1685	800
678	1687	797
679	1689	794
680	1691	792
681	1693	789
682	1695	786
683	1697	784
684	1699	781
685	1701	778
686	1703	776
687	1706	773
688	1708	771
689	1711	768
690	1713	766
691	1716	763
692	1718	761
693	1721	758
694	1723	756
695	1726	753
696	1728	751
697	1730	748
698	1732	745
699	1734	743
700	1737	741
701	1740	738
702	1742	736
703	1744	733
704	1747	731
705	1749	728
706	1751	726
707	1754	723
708	1756	720
709	1758	718
710	1760	715
711	1762	713
712	1764	710
713	1766	707
714	1771	705
715	1773	703
716	1775	700
717	1777	698
718	1779	695
719	1781	692
720	1783	690
721	1785	687
722	1787	684
723	1789	682
724	1792	679
725	1794	677
726	1796	674
727	1798	671
728	1800	669
729	1803	666
730	1805	664
731	1807	661
732	1808	658
733	1810	656
734	1812	653
735	1814	650
736	1816	648
737	1818	645
738	1821	643
739	1823	640
740	1825	637
741	1827	635
742	1829	632
743	1830	630
744	1833	627
745	1835	624
746	1837	622
747	1841	620
748	1844	617
749	1846	615
750	1848	612
751	1851	610
752	1853	607
753	1855	605
754	1857	602
755	1859	600
756	1861	597
757	1863	594
758	1865	592
759	1868	589
760	1869	587
761	1871	584
762	1874	582
763	1875	579
764	1878	577
765	1881	574
766	1883	572
767	1885	569
768	1887	566
769	1890	564
770	1892	562
771	1896	560
772	1898	557
773	1900	555
774	1903	552
775	1905	550
776	1907	547
777	1911	545
778	1915	543
779	1917	540
780	1919	538
781	1922	535
782	1925	533
783	1927	530
784	1929	528
785	1931	525
786	1933	523
787	1935	520
788	1938	518
789	1940	515
790	1943	513
791	1945	511
792	1948	508
793	1950	505
794	1952	503
795	1955	501
796	1957	498
797	1959	496
798	1961	493
799	1965	491
800	1967	488
801	1969	486
802	1970	483
803	1972	480
804	1974	478
805	1976	475
806	1978	473
807	1980	470
808	1982	468
809	1984	465
810	1987	463
811	1989	460
812	1999	459
813	2003	457
814	2005	455
815	2007	452
816	2009	450
817	2011	447
818	2013	444
819	2015	442
820	2017	439
821	2019	437
822	2021	434
823	2024	432
824	2026	429
825	2028	427
826	2030	424
827	2032	422
828	2034	419
829	2036	417
830	2038	414
831	2040	412
832	2042	409
833	2045	407
834	2047	404
835	2049	402
836	2052	399
837	2056	397
838	2059	395
839	2061	392
840	2064	390
841	2066	387
842	2068	385
843	2071	382
844	2073	380
845	2075	377
846	2078	375
847	2081	373
848	2083	370
849	2085	368
850	2087	365
851	2089	363
852	2092	360
853	2094	358
854	2096	355
855	2098	353
856	2100	350
857	2102	348
858	2104	345
859	2106	342
860	2108	340
861	2110	337
862	2113	335
863	2115	333
864	2120	330
865	2123	328
866	2125	326
867	2127	323
868	2129	320
869	2131	318
870	2134	316
871	2136	313
872	2138	311
873	2140	308
874	2142	306
875	2145	303
876	2148	301
877	2149	298
878	2151	296
879	2154	293
880	2156	291
881	2158	288
882	2161	286
883	2163	283
884	2165	281
885	2167	278
886	2170	276
887	2172	273
888	2174	271
889	2176	269
890	2179	266
891	2182	264
892	2184	261
893	2186	259
894	2188	256
895	2190	254
896	2193	251
897	2195	249
898	2197	246
899	2199	244
900	2201	241
901	2204	239
902	2205	236
903	2207	234
904	2209	231
905	2211	229
906	2213	226
907	2216	224
908	2218	222
909	2221	219
910	2223	217
911	2225	214
912	2228	212
913	2230	209
914	2232	207
915	2234	204
916	2236	202
917	2238	199
918	2240	197
919	2242	194
920	2244	192
921	2246	190
922	2248	187
923	2250	185
924	2252	182
925	2255	180
926	2257	177
927	2261	175
928	2263	173
929	2267	170
930	2269	168
931	2271	165
932	2273	163
933	2275	160
934	2278	158
935	2280	155
936	2283	153
937	2285	151
938	2287	148
939	2289	146
940	2291	143
941	2293	141
942	2295	138
943	2297	136
944	2299	133
945	2301	131
946	2305	129
947	2307	126
948	2309	124
949	2312	121
950	2318	119
951	2320	117
952	2323	114
953	2325	112
954	2327	109
955	2329	107
956	2333	104
957	2335	102
958	2337	99
959	2339	97
960	2341	95
961	2343	92
962	2345	90
963	2347	87
964	2350	85
965	2352	82
966	2354	80
967	2356	77
968	2358	75
969	2361	73
970	2364	70
971	2366	68
972	2368	65
973	2370	63
974	2372	60
975	2374	58
976	2376	55
977	2378	53
978	2380	51
979	2382	48
980	2386	46
981	2388	43
982	2391	41
983	2393	38
984	2394	36
985	2397	34
986	2398	31
987	2401	29
988	2403	26
989	2405	24
990	2407	21
991	2409	19
992	2411	16
993	2413	14
994	2416	12
995	2418	9
996	2420	7
997	2423	4
998	2425	2
999	2428	0
